City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monahans,31.5943,-102.8926,302.53,11,0,0.45,US,1683828250
1,fortuna,40.5982,-124.1573,287.96,83,100,2.57,US,1683828250
2,olonkinbyen,70.9221,-8.7187,272.63,86,95,4.04,SJ,1683828250
3,port-aux-francais,-49.35,70.2167,280.66,92,100,18.57,TF,1683828251
4,hotan,37.0997,79.9269,291.48,10,1,3.15,CN,1683828252
5,klyuchi,52.2667,79.1667,285.21,60,28,5.42,RU,1683828252
6,saudarkrokur,65.7461,-19.6394,286.62,60,96,8.51,IS,1683828252
7,dudinka,69.4058,86.1778,257.94,96,19,5.37,RU,1683828253
8,celestun,20.8667,-90.4,306.49,52,55,1.52,MX,1683828253
9,ushuaia,-54.8,-68.3,279.96,81,75,1.03,AR,1683828254
10,grytviken,-54.2811,-36.5092,270.11,79,27,4.95,GS,1683828254
11,wailua homesteads,22.0669,-159.378,297.39,89,100,3.6,US,1683828254
12,waitangi,-43.9535,-176.5597,281.94,54,72,9.75,NZ,1683828255
13,avarua,-21.2078,-159.775,298.18,73,40,5.66,CK,1683828255
14,edinburgh of the seven seas,-37.0676,-12.3116,289.9,77,88,10.18,SH,1683828256
15,blackmans bay,-43.0167,147.3167,282.22,90,100,2.92,AU,1683828222
16,port elizabeth,-33.918,25.5701,291.31,97,100,4.02,ZA,1683828256
17,sandnessjoen,66.0217,12.6316,283.44,87,75,1.54,NO,1683828257
18,pacific grove,36.6177,-121.9166,290.38,70,40,3.13,US,1683828037
19,georgetown,6.8045,-58.1553,298.31,100,100,1.03,GY,1683827967
20,ilulissat,69.2167,-51.1,271.16,80,75,8.75,GL,1683828258
21,camana,-16.6228,-72.7111,294.54,73,92,3.16,PE,1683828258
22,sechura,-5.5569,-80.8222,301.72,60,66,4.25,PE,1683828259
23,enewetak,11.3474,162.3373,300.6,84,94,6.23,MH,1683827985
24,brokopondo,5.0667,-54.9667,298.71,94,96,1.36,SR,1683828259
25,puerto natales,-51.7236,-72.4875,285.4,58,75,1.54,CL,1683827969
26,invercargill,-46.4,168.35,281.49,95,78,1.34,NZ,1683828144
27,bilibino,68.0546,166.4372,271.55,82,80,0.98,RU,1683828261
28,hithadhoo,-0.6,73.0833,301.47,79,100,6.5,MV,1683828261
29,lebu,-37.6167,-73.65,288.99,78,72,3.42,CL,1683828261
30,cockburn town,21.4612,-71.1419,300.04,76,45,4.68,TC,1683828262
31,yellowknife,62.456,-114.3525,290.44,34,40,5.66,CA,1683828082
32,thompson,55.7435,-97.8558,288.24,51,75,2.06,CA,1683828263
33,adamstown,-25.066,-130.1015,294.63,55,94,8.83,PN,1683828251
